,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Windspeed,Country
271,bethel,41.37,-73.41,71.99600000000005,88.0,90.0,4.1,US
272,havre-saint-pierre,50.23,-63.6,59.0,87.0,1.0,1.5,CA
273,port hardy,50.7,-127.42,59.0,82.0,90.0,1.5,CA
274,camargo,27.67,-105.17,84.56000000000009,37.0,67.0,4.72,MX
275,sinjah,0.0,0.0,0.0,0.0,0.0,0.0,
276,kati,12.74,-8.07,77.0,94.0,20.0,1.5,ML
277,rawson,-43.3,-65.1,38.55200000000008,72.0,96.0,3.94,AR
278,kutum,14.2,24.67,73.058,73.0,56.0,8.22,SD
279,vardo,70.37,31.11,57.32600000000009,86.0,39.0,4.76,NO
280,tual,-5.67,132.75,78.89000000000001,81.0,18.0,8.59,ID
281,srednekolymsk,67.45,153.68,89.22200000000004,28.0,3.0,3.09,RU
282,mapastepec,15.43,-92.9,79.75400000000005,78.0,100.0,1.08,MX
283,zeya,53.75,127.27,75.12800000000007,58.0,95.0,3.76,RU
284,svetlaya,46.54,138.33,58.838000000000044,92.0,100.0,4.28,RU
285,petropavlovsk-kamchatskiy,53.05,158.65,66.2,63.0,75.0,3.0,RU
286,santa rosalia,27.32,-112.28,87.63800000000005,49.0,0.0,1.15,MX
287,avarua,-21.21,-159.78,75.2,88.0,1.0,3.1,CK
288,bubaque,11.28,-15.83,79.89800000000002,84.0,100.0,6.39,GW
289,narsaq,60.92,-46.05,51.8,81.0,100.0,0.5,GL
290,sao miguel do araguaia,-13.28,-50.16,71.31200000000005,40.0,0.0,1.84,BR
291,kandiari,26.92,68.52,89.38399999999999,62.0,0.0,5.8,PK
292,buturlino,55.57,44.9,50.702000000000076,94.0,0.0,3.22,RU
293,corsicana,32.1,-96.47,89.6,59.0,1.0,2.6,US
294,kidal,18.44,1.41,90.42800000000007,36.0,40.0,4.96,ML
295,oyon,-10.67,-76.77,44.852000000000075,64.0,83.0,1.91,PE
296,quelimane,-17.88,36.89,62.47400000000001,90.0,61.0,1.91,MZ
297,broome,42.25,-75.83,71.00600000000003,88.0,20.0,2.1,US
298,severo-yeniseyskiy,60.37,93.04,50.95400000000005,82.0,100.0,4.07,RU
299,ghanzi,-21.57,21.78,44.06000000000008,61.0,0.0,4.33,BW
300,sambava,-14.27,50.17,68.88200000000002,81.0,84.0,7.69,MG
301,sorong,-0.88,131.25,81.69800000000002,78.0,15.0,2.57,ID
302,kazalinsk,0.0,0.0,0.0,0.0,0.0,0.0,
303,shaoyang,27.23,111.45,85.892,67.0,90.0,2.14,CN
304,coos bay,43.37,-124.22,62.99600000000005,82.0,1.0,6.7,US
